,CareerStage,SkillDomain,LearningMethod,MeanScore,CI_Lower,CI_Upper
0,Junior,AI/ML,OnlineCourses,7.6,7.489308118281343,7.710691881718656
1,Junior,AI/ML,Documentation,6.8,6.6790951304470285,6.920904869552971
2,Junior,AI/ML,Community,6.2,6.0947744016053935,6.305225598394607
3,Junior,Cloud/DevOps,Documentation,6.5,6.396943704615153,6.603056295384847
4,Junior,Cloud/DevOps,Mentorship,6.2,6.097520211964913,6.302479788035088
5,Junior,Cloud/DevOps,Community,5.9,5.814588628388352,5.985411371611649
6,Junior,Front-End,Community,7.3,7.205992666709425,7.394007333290575
7,Junior,Front-End,OpenSource,7.0,6.919799030429247,7.080200969570753
8,Junior,Front-End,OnlineCourses,6.5,6.3908347732139745,6.6091652267860255
9,Junior,Back-End,FormalEducation,6.8,6.738216904781214,6.861783095218786
10,Junior,Back-End,Mentorship,6.5,6.415503093605903,6.584496906394097
11,Junior,Back-End,Books,5.8,5.722423566944903,5.877576433055097
12,Junior,Mobile,OnlineCourses,6.9,6.826523464259769,6.9734765357402315
13,Junior,Mobile,Community,6.2,6.0753005172795955,6.324699482720405
14,Junior,Mobile,Documentation,5.7,5.577689273889616,5.822310726110384
15,Mid-career,AI/ML,OpenSource,7.8,7.6988343598974,7.9011656401026
16,Mid-career,AI/ML,Community,7.5,7.438320153084165,7.561679846915835
17,Mid-career,AI/ML,OnlineCourses,6.7,6.606603573899414,6.793396426100586
18,Mid-career,Cloud/DevOps,Documentation,7.8,7.700616200761122,7.899383799238878
19,Mid-career,Cloud/DevOps,Community,7.5,7.442615892918005,7.557384107081995
20,Mid-career,Cloud/DevOps,OpenSource,7.2,7.111428388965208,7.288571611034793
21,Mid-career,Front-End,OpenSource,7.6,7.550164829840173,7.649835170159826
22,Mid-career,Front-End,Community,7.4,7.303484752908019,7.496515247091982
23,Mid-career,Front-End,Documentation,6.9,6.844137437527861,6.95586256247214
24,Mid-career,Back-End,OpenSource,7.3,7.220919645956606,7.379080354043394
25,Mid-career,Back-End,Documentation,7.1,7.022270531529964,7.1777294684700355
26,Mid-career,Back-End,Books,6.8,6.703227800990047,6.896772199009953
27,Mid-career,Mobile,Community,7.2,7.142027203477356,7.257972796522644
28,Mid-career,Mobile,Documentation,6.8,6.718791356769138,6.8812086432308615
29,Mid-career,Mobile,OpenSource,6.6,6.503034720517962,6.696965279482037
30,Senior+,AI/ML,OpenSource,8.1,8.000768777091903,8.199231222908097
31,Senior+,AI/ML,Mentorship,7.8,7.716385356681511,7.883614643318489
32,Senior+,AI/ML,Books,7.2,7.122655677431909,7.277344322568092
33,Senior+,Cloud/DevOps,OpenSource,8.2,8.116296592135514,8.283703407864484
34,Senior+,Cloud/DevOps,Documentation,7.9,7.8153421488450965,7.984657851154904
35,Senior+,Cloud/DevOps,Community,7.6,7.51647531610116,7.683524683898839
36,Senior+,Front-End,OpenSource,7.8,7.703242363105399,7.896757636894601
37,Senior+,Front-End,Community,7.5,7.4059417590356595,7.5940582409643405
38,Senior+,Front-End,Mentorship,7.3,7.233479846932902,7.366520153067098
39,Senior+,Back-End,OpenSource,7.9,7.819000038632126,7.980999961367875
40,Senior+,Back-End,Mentorship,7.7,7.6272318767729415,7.772768123227059
41,Senior+,Back-End,Documentation,7.4,7.332879963508566,7.467120036491434
42,Senior+,Mobile,Mentorship,7.6,7.489947135936391,7.710052864063608
43,Senior+,Mobile,OpenSource,7.4,7.306525791765116,7.493474208234884
44,Senior+,Mobile,Community,7.0,6.881601693945598,7.118398306054402
